venue_chain_id,venue_id,date,new,return,repeat,new_12m_mean,return_12m_mean
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-02-28,3608,314,240,3009.0833333333335,250.16666666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-03-31,4178,380,301,3318.6666666666665,306.9166666666667
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-04-30,4687,401,329,3708.0,367.75
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-05-31,4734,410,334,3885.0833333333335,429.75
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-06-30,4043,377,290,3895.8333333333335,485.25
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-07-31,4529,502,387,3906.5833333333335,549.8333333333334
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-08-31,4211,386,322,3940.3333333333335,591.75
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-09-30,4181,458,364,3974.9166666666665,631.0833333333334
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-10-31,4241,412,362,4031.75,663.4166666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-11-30,3818,354,335,4060.5,685.6666666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2022-12-31,4114,440,345,4126.5,711.5
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-01-31,3496,388,342,4153.333333333333,731.0833333333334
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-02-28,3162,358,311,4116.166666666667,740.6666666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-03-31,3617,411,396,4069.4166666666665,751.1666666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-04-30,3865,448,390,4000.9166666666665,760.1666666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-05-31,3658,418,401,3911.25,766.4166666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-06-30,3527,389,400,3868.25,776.5833333333334
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-07-31,3693,404,382,3798.5833333333335,768.0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-08-31,3557,394,399,3744.0833333333335,775.0833333333334
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-09-30,3774,435,418,3710.1666666666665,777.6666666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-10-31,3495,327,326,3648.0,767.5833333333334
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-11-30,3157,354,331,3592.9166666666665,767.25
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2023-12-31,3711,432,441,3559.3333333333335,774.5833333333334
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2024-01-31,2924,306,337,3511.6666666666665,767.3333333333334
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2024-02-29,2930,378,332,3492.3333333333335,770.75
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2024-03-31,3547,411,396,3486.5,770.75
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,6,2024-04-30,2911,310,365,3407.0,757.1666666666666
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-04-30,2977,210,186,2822.5833333333335,238.25
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-05-31,2960,191,191,2988.4166666666665,260.25
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-06-30,2838,210,203,2929.0833333333335,294.6666666666667
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-07-31,2989,198,225,2851.0833333333335,325.5833333333333
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-08-31,2721,182,187,2826.0,342.9166666666667
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-09-30,3167,202,226,2836.6666666666665,357.75
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-10-31,3159,214,210,2844.0,372.5833333333333
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-11-30,2770,188,199,2846.0833333333335,382.1666666666667
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2022-12-31,3273,187,228,2926.8333333333335,394.6666666666667
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-01-31,2563,185,208,2949.4166666666665,399.0833333333333
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-02-28,2418,156,196,2909.1666666666665,400.0833333333333
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-03-31,3043,272,238,2906.5,407.6666666666667
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-04-30,2819,161,212,2893.3333333333335,405.75
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-05-31,2636,205,222,2866.3333333333335,409.5
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-06-30,2717,190,228,2856.25,409.9166666666667
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-07-31,2701,173,213,2832.25,406.8333333333333
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-08-31,2940,180,224,2850.5,409.75
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-09-30,2853,204,198,2824.3333333333335,407.5833333333333
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-10-31,3065,188,250,2816.5,408.75
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-11-30,2803,198,214,2819.25,410.8333333333333
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2023-12-31,2999,215,228,2796.4166666666665,413.1666666666667
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2024-01-31,2315,210,187,2775.75,413.5
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2024-02-29,2493,184,224,2782.0,418.1666666666667
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2024-03-31,3107,208,235,2787.3333333333335,412.5833333333333
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,22,2024-04-30,2427,165,198,2754.6666666666665,411.75
