venue_chain_id,venue_id,date,"(-inf, 30.0]","(30.0, 60.0]","(60.0, 90.0]","(90.0, 180.0]","(180.0, 365.0]","(365.0, inf]"
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2022-02-28,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2022-03-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2022-04-30,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2022-05-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2022-06-30,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2022-07-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2022-08-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2022-09-30,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2022-10-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2022-11-30,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2022-12-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2023-01-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2023-02-28,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2023-03-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2023-04-30,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2023-05-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2023-06-30,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2023-07-31,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2023-08-31,15,1,3,4,1,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2023-09-30,0,0,0,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2023-10-31,0,16,4,0,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2023-11-30,0,37,41,3,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2023-12-31,0,26,44,36,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2024-01-31,0,24,36,46,0,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2024-02-29,0,26,35,59,1,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2024-03-31,0,18,26,92,27,0
14eaeec5-2fd0-621a-49aa-4a8090cabcf7,38,2024-04-30,0,24,18,64,26,0
